,company,title,location,seniority,category,salary,salary_period
340,SMARTSOFT PTE. LTD.,Data Scientist,West,Executive,Information Technology ...,"$6,000to$11,000",Monthly
341,SCHELLDEN GLOBAL SERVICES,Data Scientist,West,Executive,Information Technology ...,"$6,000to$11,000",Monthly
342,SCHELLDEN GLOBAL PTE. LTD.,Data Scientist,Central,Middle Management,Sales / Retail ,"$6,000to$11,000",Monthly
343,CAPGEMINI SINGAPORE PTE. LTD.,Data Management Consultant,Central,Middle Management,Sales / Retail ,"$8,000to$11,000",Monthly
344,ITCAN PTE. LIMITED,Senior Data Center Engineer,Central,Non-executive,Banking and Finance,"$4,500to$7,000",Monthly
345,Company Undisclosed,Risk data Analyst,Central,Non-executive,Banking and Finance,"$3,000to$4,000",Monthly
346,SIEMENS PTE. LTD.,Data Scientist (62913),Central,Executive,Information Technology ...,"$4,000to$8,000",Monthly
347,THATZ INTERNATIONAL PTE LTD,Big Data Administrator,Central,Executive,Information Technology ...,"$4,500to$5,700",Monthly
348,SBS TRANSIT LTD,Data analyst,East,Middle Management,Sciences / Laboratory / R&D,Salary undisclosed,
349,NTT DATA SINGAPORE PTE. LTD.,Business Analyst,East,Middle Management,Sciences / Laboratory / R&D,"$7,000to$9,000",Monthly
350,DATA TERMINATOR PTE. LTD.,Operations Executive,South,Manager,Building and Construction,"$2,500to$3,600",Monthly
351,NTT DATA SINGAPORE PTE. LTD.,Technical Solutions Architecture Manager,South,Manager,Building and Construction,"$9,000to$12,000",Monthly
352,TECH DATA ADVANCED SOLUTIONS (SINGAPORE) PTE. LTD.,Pre sales consultant,North,Manager,Information Technology ...,"$5,500to$6,500",Monthly
353,NTT DATA SINGAPORE PTE. LTD.,Incident Management Engineer,North,Manager,Information Technology ...,"$4,500to$6,500",Monthly
354,DATA TERMINATOR PTE. LTD.,Sales Administrator,West,Middle Management,Advertising / Media ,"$2,300to$2,800",Monthly
355,NCS PTE. LTD.,"Senior Consultant, Application",West,Middle Management,Advertising / Media ,"$4,000to$7,000",Monthly
356,AXA INSURANCE PTE. LTD.,"Specialist, Digital Commerce (12 Months Contract)",Central,Middle Management,Human Resources ,"$3,000to$4,500",Monthly
357,FUGRO SINGAPORE MARINE PTE. LTD.,Hydrographic Surveyor,Central,Middle Management,Human Resources ,Salary undisclosed,
358,DENTSU AEGIS NETWORK HUB2050,Senior Frontend Engineer,Central,Executive,Information Technology ...,"$7,000to$11,000",Monthly
359,Company Undisclosed,Senior Software Engineer (Windows Desktop),Central,Executive,Information Technology ...,"$5,500to$7,000",Monthly
360,JONES LANG LASALLE PROPERTY CONSULTANTS PTE LTD,Senior Investment Strategist,Islandwide,Non-executive,Engineering,"$300,000to$400,000",Annually
361,Company Undisclosed,Customer Support Engineer,Islandwide,Non-executive,Engineering,"$3,500to$4,000",Monthly
362,SEPHORA DIGITAL SEA PTE. LTD.,Marketing Automation Platform Developer,Central,Manager,Manufacturing,"$5,000to$6,000",Monthly
363,THATZ INTERNATIONAL PTE LTD,Cyber Security Forensic Expert,Central,Manager,Manufacturing,"$5,000to$7,500",Monthly
364,OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD,Senior Automation Test Engineer - Web and UI (Long term contract),Islandwide,Manager,Sales / Retail ,"$6,000to$8,000",Monthly
365,INTERNATIONAL BACCALAUREATE ORGANIZATION (SINGAPORE BRANCH),Authorization Associate Manager,Islandwide,Manager,Sales / Retail ,"$6,000to$7,300",Monthly
366,OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD,Automation Test Engineer - Web and UI Automation (Long term renewable contract),Central,Middle Management,Marketing / Public Relations ,"$5,000to$7,000",Monthly
367,COMWERKS PTE. LTD.,Senior Digital Analyst,Central,Middle Management,Marketing / Public Relations ,"$4,000to$6,000",Monthly
368,MPHASIS PTE LTD,Actimize Developer,South,Fresh/entry level ...,Accounting / Auditing / Taxation,"$7,000to$10,000",Monthly
369,PRUDENTIAL ASSURANCE COMPANY SINGAPORE (PTE) LIMITED,Actuarial Specialist - EEV Reporting,South,Fresh/entry level ...,Accounting / Auditing / Taxation,"$5,000to$9,000",Monthly
370,BAM ASIA ENTERTAINMENT NETWORK LLP,"Head of Marketing, Creative & Digital Products",Central,Junior Executive,Engineering,"$10,000to$13,000",Monthly
371,EDEN ENGINEERING & CONSTRUCTION PTE. LTD.,Senior Piping material,Central,Junior Executive,Engineering,"$6,000to$7,000",Monthly
372,IPSOS PTE. LTD.,Analyst  /  Senior Analyst,Islandwide,Fresh/entry level ...,Engineering,"$3,500to$6,000",Monthly
373,IPSOS PTE. LTD.,Research Director,Islandwide,Fresh/entry level ...,Engineering,"$10,000to$15,000",Monthly
374,ICON CONSULTING-GROUP PTE. LTD.,Analytics Architect,Central,Junior Executive,Admin / Secretarial ...,"$15,000to$20,000",Monthly
375,RSM CORPORATE ADVISORY PTE. LTD.,Advisory Associate  /  Senior,Central,Junior Executive,Admin / Secretarial ...,"$2,600to$5,000",Monthly
376,MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,Senior Backend Engineer (West),South,Professional,Logistics / Supply Chain,"$4,000to$5,500",Monthly
377,HTZ RESOURCES,"Network Engineer  /  Consultant, MPLS (up to S$5000, MNC, Contract)",South,Professional,Logistics / Supply Chain,"$2,800to$5,000",Monthly
378,NATIONAL UNIVERSITY OF SINGAPORE,Research Assistant,South,Junior Executive,Information Technology,"$3,000to$5,000",Monthly
379,"MAXIM INTEGRATED PRODUCTS, INC",IT System Administrator,South,Junior Executive,Information Technology,Salary undisclosed,
380,GOOGLE ASIA PACIFIC PTE. LTD.,"Head of Social Media Marketing Analytics, YouTube - Singapore",West,Executive,Information Technology,"$12,000to$24,000",Monthly
381,GFK ASIA PTE LTD,"(Assistant) Manager, APAC",West,Executive,Information Technology,"$4,000to$7,000",Monthly
382,NANYANG TECHNOLOGICAL UNIVERSITY,Research Assistant,Central,Professional,Repair and Maintenance,"$2,700to$3,500",Monthly
383,JTC Corporation,Senior Manager  /  Manager (IT Infrastructure),Central,Professional,Repair and Maintenance,Salary undisclosed,
384,HAYS SPECIALIST RECRUITMENT PTE. LTD.,Accounting and Finance Admin,Central,Executive ...,Information Technology ...,"$2,000to$2,500",Monthly
385,GENIEGOO PTE. LTD.,Hiring for Application Consultant,Central,Executive ...,Information Technology ...,"$6,000to$8,000",Monthly
386,THAKRAL BROTHERS (PRIVATE) LIMITED,Business Consultant,West,Professional,Banking and Finance,"$5,000to$8,500",Monthly
387,CAREER TREND PTE. LTD.,Shipping Executive (Coal Commodity)MNC / Central / 5 days week / Max $5500,West,Professional,Banking and Finance,"$3,000to$4,500",Monthly
388,INFOSYS CONSULTING PTE. LTD.,Business Analyst,Central,Manager ...,Information Technology,"$5,000to$10,000",Monthly
389,ABEAM CONSULTING (SINGAPORE) PTE. LTD.,Senior SAP CS & SD Consultant,Central,Manager ...,Information Technology,"$6,000to$9,000",Monthly
390,HONESTBEE PTE. LTD.,Talent Acquisition Partner,South,Manager ...,Professional Services,Salary undisclosed,
391,ARCADIS SINGAPORE PTE. LTD.,Project Controller,South,Manager ...,Professional Services,"$3,500to$5,000",Monthly
392,V.SHIPS ASIA GROUP PTE. LTD.,HR Coordinator,South,Fresh/entry level,Engineering ...,"$3,000to$3,500",Monthly
393,ETIQA INSURANCE PTE. LTD.,Internal Auditor,South,Fresh/entry level,Engineering ...,"$5,000to$7,000",Monthly
394,FW HOSPITALITY MANAGEMENT PTE. LTD.,Manager,Central,Professional,Engineering ...,"$2,000to$8,500",Monthly
395,3I INFOTECH ASIA PACIFIC PTE. LTD.,Human Resource Executive,Central,Professional,Engineering ...,"$2,000to$4,000",Monthly
396,NATIONAL UNIVERSITY OF SINGAPORE,Research Assistant,West,Fresh/entry level,Engineering,"$2,700to$4,050",Monthly
397,SINGAPORE SHELL EMPLOYEES' UNION CO-OPERATIVE LTD,Chief Technical Officer,West,Fresh/entry level,Engineering,Salary undisclosed,
398,CANATEC PTE. LTD.,Assistant Facility Engineer,East,Middle Management,Information Technology,"$1,800to$3,500",Monthly
399,SAGAR PTE. LTD.,Operations Manager (Food Services),East,Middle Management,Information Technology,"$5,000to$7,500",Monthly
400,GMP RECRUITMENT SERVICES (S) PTE LTD,"Performance Analyst - Call Centre (East, Up to $7K)",East,Senior Executive,Engineering,"$5,000to$7,000",Monthly
401,LJ ENERGY PTE. LTD.,Energy Efficiency Consultant,East,Senior Executive,Engineering,"$3,000to$4,000",Monthly
402,TESCOM (SINGAPORE) SOFTWARE SYSTEMS TESTING PTE LTD.,Senior Software Consultant,East,Non-executive,Accounting / Auditing / Taxation,"$6,500to$8,500",Monthly
403,ELSY PTE. LTD.,Head Algorithm Development,East,Non-executive,Accounting / Auditing / Taxation,"$15,000to$20,000",Monthly
404,MTC GLOBAL SOLUTIONS PTE. LTD.,Fiori Developer,Central,Fresh/entry level,Banking and Finance,"$6,000to$10,000",Monthly
405,MTC GLOBAL SOLUTIONS PTE. LTD.,ABAP Consultant,Central,Fresh/entry level,Banking and Finance,"$6,000to$10,000",Monthly
406,RED PHOENIX COURIER SINGAPORE,Document Delivery Rider,Central,Professional ...,Information Technology,Salary undisclosed,
407,MPHASIS PTE LTD,L2 Front Office Support,Central,Professional ...,Information Technology,"$5,000to$10,000",Monthly
408,AVENSYS CONSULTING PTE. LTD.,Information Security- SOC Team Lead,Central,Executive,Engineering,"$6,000to$10,000",Monthly
409,SENSETIME INTERNATIONAL PTE. LTD.,Software Engineer,Central,Executive,Engineering,"$3,500to$4,500",Monthly
410,CARAT MEDIA SERVICES SINGAPORE PTE LTD,Associate Media Manager /  Media Manager /  Senior Media Manager,Central,Senior Management,Banking and Finance ...,"$3,500to$7,000",Monthly
411,MINI ENVIRONMENT SERVICE PTE LTD,Admin Support Assistant,Central,Senior Management,Banking and Finance ...,"$1,600to$1,900",Monthly
412,RHT MANAGEMENT SERVICES PTE. LTD.,Training & Development Intern,East,Professional,Sales / Retail ,$600to$800,Monthly
413,THE CHINA NAVIGATION COMPANY PTE. LTD.,"Assistant Manager, Digital Marketing",East,Professional,Sales / Retail ,"$4,000to$7,000",Monthly
414,NANYANG TECHNOLOGICAL UNIVERSITY,"Lead Database Administrator (Lead DBA), Infrastructure & Database Department (IDD)",Central,Professional,Sciences / Laboratory / R&D,"$5,000to$6,500",Monthly
415,APPLE SOUTH ASIA PTE. LTD.,Threat Intelligence Engineer,Central,Professional,Sciences / Laboratory / R&D,"$8,500to$15,000",Monthly
416,Company Undisclosed,Sales Coordinator cum Secretary,Central,Professional,Accounting / Auditing / Taxation,"$3,800to$5,500",Monthly
417,MUFG FUND SERVICES (SINGAPORE) PTE. LTD.,"Analyst, Job",Central,Professional,Accounting / Auditing / Taxation,"$50,000to$65,000",Annually
418,GLOBIBO PTE. LTD.,Senior Executive; Business Development (Event Technology),West,Executive,Engineering,"$3,100to$3,600",Monthly
419,OCEAN SOURCING PTE. LTD.,Accounts Executive,West,Executive,Engineering,"$3,000to$3,500",Monthly
420,HUAWEI INTERNATIONAL PTE. LTD.,Director,North,Senior Management,Engineering,"$12,000to$16,000",Monthly
421,MACHSPEED HUMAN RESOURCES PTE. LTD.,"Engineering Assistant-QA (S$1800-2000+OT, Day Shift, West)",North,Senior Management,Engineering,"$1,800to$2,000",Monthly
422,TATA CONSULTANCY SERVICES ASIA PACIFIC PTE. LTD.,ETL Tech Lead,Central,Executive,Admin / Secretarial,"$5,000to$9,000",Monthly
423,BRADBURY CONSULTING PTE LTD,Digital Manager,Central,Executive,Admin / Secretarial,"$6,500to$8,500",Monthly
424,VERSANT SYSTEMS PTE. LTD.,ABAP EDI Consultant,West,Executive,Information Technology,"$6,500to$9,000",Monthly
425,CITIBANK N.A.,"GF - Finance Analyst, Vice President",West,Executive,Information Technology,"$5,000to$8,000",Monthly
426,MACHSPEED HUMAN RESOURCES PTE. LTD.,"Accounts  Officer (3-6 months contract, Science Park, $2500-2800)",West,Junior Executive,Human Resources ,"$2,500to$2,800",Monthly
427,MACHSPEED HUMAN RESOURCES PTE. LTD.,"Production Planner (5 days, Clementi,  $1800-2000)",West,Junior Executive,Human Resources ,"$1,800to$2,000",Monthly
428,Company Undisclosed,FACILITY ENGINEERS,Central,Executive,Engineering,"$3,500to$4,500",Monthly
429,THAKRAL BROTHERS (PRIVATE) LIMITED,Senior Business Analyst,Central,Executive,Engineering,"$12,000to$15,000",Monthly
430,SKYLAB NETWORKS PTE. LTD.,Software Development /  Project Manager,West,Professional,Information Technology,Salary undisclosed,
431,INFOSYS CONSULTING PTE. LTD.,Technical Analyst Consultant,West,Professional,Information Technology,"$5,000to$10,000",Monthly
432,TEMENOS SINGAPORE PTE. LTD.,Senior Business Consultant,South,Middle Management,Customer Service ...,"$6,000to$8,000",Monthly
433,INFOSYS CONSULTING PTE. LTD.,Business Analyst Consultant,South,Middle Management,Customer Service ...,"$5,500to$10,000",Monthly
434,"TECHNOLOGY CENTRE FOR OFFSHORE AND MARINE, SINGAPORE LTD.",Assistant Manager  /  Manager (Contract and Procurement)  /  TCOMS,North,Non-executive,Information Technology,"$3,700to$7,400",Monthly
435,LEIGHTON CONTRACTORS (ASIA) LIMITED (SINGAPORE BRANCH),Senior Quantity Surveyor,North,Non-executive,Information Technology,"$5,000to$7,000",Monthly
436,ABEAM CONSULTING (SINGAPORE) PTE. LTD.,SAP ABAP & BW Senior Consultant,South,Senior Executive,Consulting ,"$4,800to$7,200",Monthly
437,JF FOUNDATION PTE. LTD.,Account Executive,South,Senior Executive,Consulting ,"$2,000to$2,500",Monthly
438,EDEN ENGINEERING & CONSTRUCTION PTE. LTD.,Civil and Structural engineer,North,Executive,Admin / Secretarial,"$6,500to$7,000",Monthly
439,MACHSPEED HUMAN RESOURCES PTE. LTD.,"Accounts Officer (3-6 months contract, Science Park, $1800-2000)",North,Executive,Admin / Secretarial,"$1,800to$2,000",Monthly
440,SPARKLINE PTE. LTD.,Digital Account Manager,North,Executive,Information Technology,"$5,000to$6,000",Monthly
441,ROBERT BOSCH (SOUTH EAST ASIA) PTE. LTD.,IT Space Specialist,North,Executive,Information Technology,"$4,000to$8,000",Monthly
442,TETRA PAK SOUTH EAST ASIA PTE LTD,Regional Business Information & Insights Professional,North,Manager,Engineering,"$9,000to$12,000",Monthly
443,CLARIST RESOURCES PTE. LTD.,Merchandise Planner - RETAIL  /  LUXURY - S$5000,North,Manager,Engineering,"$4,500to$5,000",Monthly
444,ALTUS OIL & GAS SERVICES PTE. LTD.,Business Development Executive,North,Fresh/entry level,Engineering,"$4,000to$4,500",Monthly
445,TECHCOM SOLUTIONS ASIA PACIFIC PTE. LTD.,Principal Database Administrator (DB2 z / OS),North,Fresh/entry level,Engineering,"$7,500to$9,500",Monthly
446,British High Commission,"Consular Officer, Emergency Travel Documents Centre Singapore",South,Manager,Information Technology,"$3,000to$3,700",Monthly
447,INFINEON TECHNOLOGIES ASIA PACIFIC PTE LTD,Technician - Facilities,South,Manager,Information Technology,"$2,000to$3,500",Monthly
448,INFINEON TECHNOLOGIES ASIA PACIFIC PTE LTD,Senior  /  R&D Engineer - Wire Bond Unit Process Development,"East, West, Central",Manager,Admin / Secretarial ...,"$3,500to$6,000",Monthly
449,British High Commission,"Consular Officer, Emergency Travel Documents Centre Singapore, A2(L) (Cantonese Speaker)","East, West, Central",Manager,Admin / Secretarial ...,"$2,000to$2,500",Monthly
450,TEMENOS SINGAPORE PTE. LTD.,Business Consultant,"North, East",Senior Executive,Information Technology,"$5,000to$6,500",Monthly
451,Company Undisclosed,Software Engineer,"North, East",Senior Executive,Information Technology,"$5,500to$7,000",Monthly
452,CIRCULAR HOLDINGS PTE. LTD.,Restaurant Supervisor,Central,Junior Executive,Information Technology,"$5,000to$6,000",Monthly
453,SMITH & NEPHEW PTE. LIMITED,Business Unit Director,Central,Junior Executive,Information Technology,"$17,000to$25,000",Monthly
454,BRIGHTLINE COMMUNICATIONS PTE. LTD.,Sales Administrator,Central,Fresh/entry level,Engineering,"$1,500to$1,700",Monthly
455,THE SUPREME HR ADVISORY PTE. LTD.,Account Admin [5 days  /  Tannery Road],Central,Fresh/entry level,Engineering,"$1,600to$1,800",Monthly
456,ICON CONSULTING-GROUP PTE. LTD.,Cyber Security Consultant,West,Senior Executive,Engineering,"$7,000to$11,000",Monthly
457,SPENCER OGDEN PTE. LTD.,Process Engineer,West,Senior Executive,Engineering,"$4,000to$5,400",Monthly
458,SPENCER OGDEN PTE. LTD.,Subcontracts Engineer (2 months),Central,Senior Executive,Others,"$4,000to$5,400",Monthly
459,HARVESTON ASSET MANAGEMENT PTE. LTD.,Front Desk Quant Developer,Central,Senior Executive,Others,"$3,000to$5,000",Monthly
460,JOHN CRANE SINGAPORE PTE LTD,Senior Design Engineer,Central,Executive,Engineering,"$5,500to$6,500",Monthly
461,ALLEGIS GLOBAL SOLUTIONS (SINGAPORE) PTE. LTD.,Recruitment Business Partner,Central,Executive,Engineering,"$8,000to$15,000",Monthly
462,HP PPS ASIA PACIFIC PTE. LTD.,Process and Capabilities Manager,Central,Fresh/entry level,Design,"$10,000to$15,000",Monthly
463,ADVANCE INTELLIGENCE PTE. LTD.,Office Assistant,Central,Fresh/entry level,Design,"$2,000to$3,500",Monthly
464,INTEL TECHNOLOGY ASIA PTE LTD,JR0094246 Regional Retail Merchandising Manager,East,Junior Executive,Accounting / Auditing / Taxation,"$5,000to$10,000",Monthly
465,CHANDLER MACLEOD GROUP PTE. LTD.,Senior Account Manager,East,Junior Executive,Accounting / Auditing / Taxation,"$5,000to$10,000",Monthly
466,FA SYSTEMS AUTOMATION (S) PTE LTD,Mechanical Engineer,East,Non-executive,Purchasing / Merchandising,"$2,000to$4,500",Monthly
467,THATZ INTERNATIONAL PTE LTD,Payroll cum Talent-Customer Liaison Executive,East,Non-executive,Purchasing / Merchandising,"$2,500to$3,500",Monthly
468,THATZ INTERNATIONAL PTE LTD,Application Systems Administrator,East,Executive,Engineering,"$4,500to$5,500",Monthly
469,THATZ INTERNATIONAL PTE LTD,Temporary ICT Technician (3 & 6 months),East,Executive,Engineering,"$1,500to$1,800",Monthly
470,PROTIVITI PTE. LTD.,"Internal Auditor, Associate Consultant",Central,Manager,Admin / Secretarial ...,"$3,500to$3,700",Monthly
471,EDEN DESIGN ENGINEERING PTE. LTD.,Civil and Structural engineer,Central,Manager,Admin / Secretarial ...,"$6,500to$7,000",Monthly
472,NATIONAL UNIVERSITY OF SINGAPORE,Research Fellow,South,Fresh/entry level ...,Consulting  ...,"$4,000to$6,000",Monthly
473,NATIONAL UNIVERSITY OF SINGAPORE,Research Associate,South,Fresh/entry level ...,Consulting  ...,"$3,400to$5,100",Monthly
474,CKMBT INTERNATIONAL PTE. LTD.,Executive Engineer,North,Senior Executive,Engineering,"$3,400to$5,200",Monthly
475,APPLIED MATERIALS SOUTH EAST ASIA PTE. LTD.,Technical Product Support Engineer,North,Senior Executive,Engineering,Salary undisclosed,
476,APPLIED MATERIALS SOUTH EAST ASIA PTE. LTD.,Industrial Engineer,North,Middle Management,Engineering ...,"$4,500to$8,000",Monthly
477,THE SUPREME HR ADVISORY PTE. LTD.,Aerospace technician [overhaul /  repair / components],North,Middle Management,Engineering ...,"$2,000to$2,400",Monthly
478,ROBERT WALTERS (SINGAPORE) PTE LTD,Learning and Development Manager,North,Middle Management,Engineering,"$12,000to$13,000",Monthly
479,THE SUPREME HR ADVISORY PTE. LTD.,Administrative and Operation Assistant [reception /  administrative /  ms office],North,Middle Management,Engineering,"$2,000to$2,500",Monthly
480,HR-PRO RECRUITMENT SERVICES PTE. LTD.,Admin Executive,Central,Middle Management,Information Technology ...,"$2,100to$2,500",Monthly
481,PRINCIPAL STRATEGIC PTE. LTD.,Sales Manager,Central,Middle Management,Information Technology ...,"$3,000to$4,000",Monthly
482,PEOPLE PROFILERS PTE. LTD.,International Sales & Marketing Executive (Travelling Req ),East,Middle Management,Information Technology ...,"$2,800to$3,200",Monthly
483,JUST RECRUIT SINGAPORE PTE. LTD.,HR Executive (Generalist),East,Middle Management,Information Technology ...,"$2,800to$3,000",Monthly
484,TIONG WOON CRANE & TRANSPORT (PTE) LTD,Accounts Executive,East,Middle Management,Information Technology ...,"$2,000to$4,000",Monthly
485,EMERSON PROCESS MANAGEMENT ASIA PACIFIC PRIVATE LIMITED,GP3 Project Pursuit Leader (APHQ_19001390),East,Middle Management,Information Technology ...,"$10,000to$12,000",Monthly
486,NANYANG TECHNOLOGICAL UNIVERSITY,Senior Research Engineer,East,Junior Executive,Information Technology ...,"$5,000to$8,500",Monthly
487,EMERSON PROCESS MANAGEMENT ASIA PACIFIC PRIVATE LIMITED,GP3 Project Pursuit Leader (APHQ_19001389),East,Junior Executive,Information Technology ...,"$10,000to$12,000",Monthly
488,EMERSON PROCESS MANAGEMENT ASIA PACIFIC PRIVATE LIMITED,GP3 Project Pursuit Leader (APHQ_19001388),North,Manager,Information Technology ...,"$10,000to$12,000",Monthly
489,5 STONES HRM PTE. LTD.,Logistics Coordinator (6 months Temp  /  1 year Contract),North,Manager,Information Technology ...,"$1,600to$1,800",Monthly
490,TECHCOM SOLUTIONS & CONSULTANCY PTE. LTD.,Principal Database Administrator (DB2 z / OS),Central,Fresh/entry level ...,Others,"$7,000to$9,200",Monthly
491,PEOPLEBANK SINGAPORE PTE. LTD.,RESOURCE ANALYST,Central,Fresh/entry level ...,Others,"$3,000to$4,000",Monthly
492,RMA CONTRACTS PTE. LTD.,Software Engineer (system),North,Executive ...,Banking and Finance,"$5,000to$7,000",Monthly
493,NTC INTEGRATION (PTE) LTD,SYSTEM SUPPORT ENGINEER (L2 SDT),North,Executive ...,Banking and Finance,"$2,500to$3,200",Monthly
494,APBA PTE. LTD.,*Immediate Positions* Temp Administrative Assistants - up to $10.50 / hr,West,Executive,Customer Service ...,"$1,500to$2,000",Monthly
495,FORTE EMPLOYMENT SERVICES PTE. LTD.,Admin Assistant,West,Executive,Customer Service ...,"$1,800to$2,000",Monthly
496,PERI ASIA PTE. LTD.,SENIOR EXECUTIVE (CONTRACTS & CREDIT CONTROL),Central,Professional,Logistics / Supply Chain,"$3,500to$4,500",Monthly
497,GLOBALSIGN.IN PTE. LTD.,"Application Support Engineer (HTML, JS, CSS)",Central,Professional,Logistics / Supply Chain,"$3,500to$5,000",Monthly
498,CAPITA PTE. LTD.,Desktop Engineer,Central,Senior Executive,Information Technology,"$2,400to$3,500",Monthly
499,APBA PTE. LTD.,Temp Admin  /  Customer Service  /  /  up to $11.50 / hr,Central,Senior Executive,Information Technology,"$1,500to$2,000",Monthly
500,NATIONAL UNIVERSITY OF SINGAPORE,Research Fellow,Central,Manager,Information Technology,"$4,000to$6,000",Monthly
501,LINKEDIN SINGAPORE PTE. LTD.,Campaign Manager,Central,Manager,Information Technology,"$60,480to$90,720",Annually
502,VEOLIA ES SINGAPORE INDUSTRIAL PTE. LTD.,Public Relations Officer,Central,Non-executive,Others,Salary undisclosed,
503,UNITED PACKAGING INDUSTRIES PTE. LTD.,Quality Engineer,Central,Non-executive,Others,"$3,000to$4,000",Monthly
504,SUEZ WATER TECHNOLOGIES & SOLUTIONS SINGAPORE PTE. LTD.,Application Engineer,Central,Senior Executive,Hospitality,"$3,600to$4,000",Monthly
505,NEXTLABS INTERNATIONAL PRIVATE LIMITED,Software Engineer (C / C++),Central,Senior Executive,Hospitality,"$4,000to$7,000",Monthly
506,NEXTLABS INTERNATIONAL PRIVATE LIMITED,Senior Software Engineer (C / C++),East,Junior Executive,Hospitality,"$4,000to$7,000",Monthly
507,NEXTLABS INTERNATIONAL PRIVATE LIMITED,Senior Engineering Manager – Software Development,East,Junior Executive,Hospitality,Salary undisclosed,
508,NEXTLABS INTERNATIONAL PRIVATE LIMITED,Software Engineer (Java),Central,Executive ...,Sciences / Laboratory / R&D,"$3,500to$6,000",Monthly
509,NEXTLABS INTERNATIONAL PRIVATE LIMITED,Senior Software Engineer (Java),Central,Executive ...,Sciences / Laboratory / R&D,"$4,000to$7,000",Monthly
510,YWL ENGINEERING PTE LTD,IT Officer,North,Senior Management,Accounting / Auditing / Taxation,"$2,000to$4,000",Monthly
511,INTELLECT MINDS PTE. LTD.,Senior Cloud Developer,North,Senior Management,Accounting / Auditing / Taxation,"$6,500to$8,000",Monthly
512,PANALPINA ASIA PACIFIC MANAGEMENT PTE. LTD.,Regional Ocean Freight FCL Trade Lane Manager APAC,Central,Fresh/entry level ...,Engineering,"$8,000to$13,000",Monthly
513,RANDSTAD PTE. LIMITED,Full Stack Software Engineer,Central,Fresh/entry level ...,Engineering,"$6,000to$7,000",Monthly
514,IDEALL SOLUTIONZ SINGAPORE PTE. LTD.,Finance Manager,Central,Middle Management,Telecommunications,"$3,000to$5,000",Monthly
515,PROFLOORZ INTERNATIONAL PTE. LTD.,Finance Manager,Central,Middle Management,Telecommunications,"$3,000to$5,000",Monthly
516,TELEFOCAL ASIA PTE. LTD.,Training Coordinator,North,Senior Management,Design ...,"$2,000to$3,000",Monthly
517,NANYANG TECHNOLOGICAL UNIVERSITY,"Assistant Manager, IT / AV On Site - 180000DG",North,Senior Management,Design ...,"$3,500to$5,000",Monthly
518,CAPITA PTE. LTD.,Network Security Engineer,West,Non-executive,Information Technology,"$3,500to$5,000",Monthly
519,NATIONAL UNIVERSITY OF SINGAPORE,Research Fellow,West,Non-executive,Information Technology,"$5,000to$6,500",Monthly
520,ALLEGIS GLOBAL SOLUTIONS (SINGAPORE) PTE. LTD.,Onsite Banking recruiter,Islandwide,Non-executive,Accounting / Auditing / Taxation ...,"$3,500to$8,000",Monthly
521,Company Undisclosed,IT - BIG DATA ENGINEER,Islandwide,Non-executive,Accounting / Auditing / Taxation ...,"$3,400to$6,800",Monthly
522,Company Undisclosed,Software Engineer (C++) (Ref 22847),East,Non-executive,Engineering ...,"$3,000to$6,000",Monthly
523,Company Undisclosed,NETWORK ENGINEER,East,Non-executive,Engineering ...,"$3,400to$6,800",Monthly
524,Company Undisclosed,Fuels Analyst,Islandwide,Middle Management,Engineering ...,"$8,500to$12,000",Monthly
525,Company Undisclosed,Transport Planner  /  Transport Modeller,Islandwide,Middle Management,Engineering ...,Salary undisclosed,
526,Company Undisclosed,Assistant Engineer,South,Middle Management ...,Engineering ...,"$1,800to$3,500",Monthly
527,Company Undisclosed,"IT Enginner, Applications Sourcing",South,Middle Management ...,Engineering ...,"$7,500to$8,333",Monthly
528,Company Undisclosed,Manager – Safety & Technical Operations (Shipping),South,Middle Management ...,Others,"$8,000to$10,000",Monthly
529,Company Undisclosed,Purchasing Executive,South,Middle Management ...,Others,Salary undisclosed,
530,Company Undisclosed,Admininstrative Assistant,Central,Middle Management ...,Information Technology,Salary undisclosed,
531,Company Undisclosed,Accounts Assistant,Central,Middle Management ...,Information Technology,"$2,200to$2,500",Monthly
532,Company Undisclosed,Temporary Marketing Executive,North,Non-executive,Information Technology,Salary undisclosed,
533,Company Undisclosed,Education Therapist,North,Non-executive,Information Technology,Salary undisclosed,
534,GRABTAXI HOLDINGS PTE. LTD.,Market Analyst (Data),North,Professional,Information Technology,"$3,000to$6,000",Monthly
535,WANCO MANPOWER PTE LTD,IT Product Data Management Senior Engineer,North,Professional,Information Technology,"$3,500to$5,300",Monthly
536,AMAZON WEB SERVICES SINGAPORE PRIVATE LIMITED,Big Data Consultant,Central,Non-executive,Engineering ...,"$15,000to$25,000",Monthly
537,MANN+HUMMEL VENTURES PTE. LTD.,DATA SCIENTIST,Central,Non-executive,Engineering ...,"$7,000to$8,350",Monthly
538,GRAEBEL APAC CENTER PTE. LTD.,Data Scientist,Central,Manager,Others,"$5,000to$6,500",Monthly
539,U3 INFOTECH PTE. LTD.,Data Science Lead Consultant,Central,Manager,Others,"$6,000to$8,500",Monthly
