,company,title,location,seniority,category,salary,salary_period
873,MINDTECK SINGAPORE PTE LTD,Lead Engineer (AWS / Bigdata),South,Executive,Consulting  ...,"$5,000to$7,000",Monthly
874,AGAPE CHILD CARE(CCK) PTE. LTD.,Accounts Assistant,South,Professional,Accounting / Auditing / Taxation ...,"$1,600to$2,000",Monthly
875,LVMH FRAGRANCES AND COSMETICS (SINGAPORE) PTE LTD,Demand & Business Support Manager,South,Professional,Accounting / Auditing / Taxation ...,"$6,500to$8,500",Monthly
876,"CHINA RAILWAY FIRST GROUP CO., LTD. SINGAPORE BRANCH",Resident surveyor,Central,Senior Executive,Building and Construction,"$6,000to$9,000",Monthly
877,THE SUPREME HR ADVISORY PTE. LTD.,Aerospace technician [CAAS /  Overhaul /  Mechanical],Central,Senior Executive,Building and Construction,"$2,000to$2,400",Monthly
878,GOOGLE ASIA PACIFIC PTE. LTD.,Legal Specialist - Singapore,East,Executive,Accounting / Auditing / Taxation,"$7,200to$14,400",Monthly
879,CAD-IT CONSULTANTS (ASIA) PTE LTD,Finance Manager,East,Executive,Accounting / Auditing / Taxation,"$5,000to$6,500",Monthly
880,WIZLEARN TECHNOLOGIES PTE. LTD.,ICT Executive (Infocomm Technology Executive),East,Professional,Consulting ,"$1,700to$3,000",Monthly
881,BANYAN TREE HOTELS & RESORTS PTE. LTD.,Accountant,East,Professional,Consulting ,"$4,000to$4,500",Monthly
882,"Ministry of Culture, Community and Youth",Senior Manager / Manager(Youth),Central,Executive,Information Technology,Salary undisclosed,
883,SENSORFLOW PTE. LTD.,UI-UX Designer,Central,Executive,Information Technology,"$4,000to$6,000",Monthly
884,SEMBCORP MARINE LTD,PDMS Structural Drafting Specialist,Central,Non-executive,Consulting ,"$2,000to$4,000",Monthly
885,SEMBCORP MARINE LTD,Process Engineer,Central,Non-executive,Consulting ,"$5,000to$8,000",Monthly
886,SHUNHE PTE. LTD.,Administrative Assistant,Central,Executive ...,Logistics / Supply Chain ...,"$1,500to$2,000",Monthly
887,SEMBCORP MARINE LTD,Document Controller,Central,Executive ...,Logistics / Supply Chain ...,"$2,500to$3,000",Monthly
888,TAI CHEONG BAKERY PTE. LTD.,Accounts & Admin Assistant,"South, East",Executive,Logistics / Supply Chain,"$1,800to$1,800",Monthly
889,C.H. ROBINSON FREIGHT SERVICES (SINGAPORE) PTE. LTD.,"Executive, Ocean Operations","South, East",Executive,Logistics / Supply Chain,"$2,500to$3,800",Monthly
890,NATIONAL UNIVERSITY OF SINGAPORE,Senior Assistant Manager / Assistant Manager (Executive Programmes Office),Central,Professional,Information Technology,"$3,200to$5,000",Monthly
891,P G WEE PARTNERSHIP LLP,CORPORATE TAX SENIOR,Central,Professional,Information Technology,"$3,000to$4,000",Monthly
892,NANYANG TECHNOLOGICAL UNIVERSITY,Research Associate,Central,Senior Executive,Customer Service,"$3,500to$4,500",Monthly
893,NANYANG TECHNOLOGICAL UNIVERSITY,Executive / Senior Executive - Central Store (180000F6),Central,Senior Executive,Customer Service,"$2,800to$3,800",Monthly
894,SEMBCORP MARINE LTD,Software Engineer,North,Junior Executive,Engineering ...,"$2,500to$3,500",Monthly
895,QBE INSURANCE (SINGAPORE) PTE. LTD.,Underwriting Exec,North,Junior Executive,Engineering ...,Salary undisclosed,
896,SEO ENG JOO FROZEN FOOD PTE LTD,Accounts Assistant / clerk,South,Middle Management,Engineering ...,"$1,400to$2,000",Monthly
897,SOCASH PTE. LTD.,Marketing Director,South,Middle Management,Engineering ...,"$5,000to$10,000",Monthly
898,Company Undisclosed,CTO System Engineer,South,Executive,Customer Service,"$3,400to$6,800",Monthly
899,Company Undisclosed,NVE Systems Media Engineer,South,Executive,Customer Service,"$3,500to$7,000",Monthly
900,Company Undisclosed,Test Equipment Engineer,West,Executive,Information Technology,"$3,400to$6,800",Monthly
901,Company Undisclosed,"Associate, Risk (Contract)",West,Executive,Information Technology,"$3,000to$4,500",Monthly
902,Company Undisclosed,Chief Digital Innovation Officer,South,Professional,Information Technology,"$12,000to$20,000",Monthly
903,Company Undisclosed,Senior Alteryx developer,South,Professional,Information Technology,"$6,000to$7,000",Monthly
904,Company Undisclosed,NVE - SSD Senior / Product Engineer,South,Non-executive,F&B,"$3,400to$6,800",Monthly
905,Company Undisclosed,Senior Manager,South,Non-executive,F&B,"$5,000to$7,000",Monthly
906,Company Undisclosed,Manager,East,Non-executive,Marketing / Public Relations  ...,"$5,000to$7,000",Monthly
907,Company Undisclosed,Cost Controller,East,Non-executive,Marketing / Public Relations  ...,"$4,000to$6,000",Monthly
908,Company Undisclosed,Senior Marketing Executive,Islandwide,Executive,Admin / Secretarial,"$4,000to$5,000",Monthly
909,Company Undisclosed,Accountant,Islandwide,Executive,Admin / Secretarial,"$2,500to$4,000",Monthly
910,Company Undisclosed,Senior HR Executive /  HR Executive,Central,Executive ...,Admin / Secretarial,Salary undisclosed,
911,Company Undisclosed,Technical Leader,Central,Executive ...,Admin / Secretarial,"$12,000to$18,000",Monthly
912,Company Undisclosed,Senior Analyst (Contract  /  Senior Associate),Central,Professional,Information Technology,"$8,000to$12,000",Monthly
913,Company Undisclosed,Assembly Process Engineering Assistant,Central,Professional,Information Technology,"$2,000to$4,000",Monthly
914,Company Undisclosed,Facilities IE & Construction Engineer,South,Manager,Engineering,"$3,400to$6,800",Monthly
915,Company Undisclosed,NVE PE Operator,South,Manager,Engineering,"$900to$1,800",Monthly
916,Company Undisclosed,Engineer - NVE MNAND SCG Validation,Central,Fresh/entry level,Engineering,"$3,400to$6,800",Monthly
917,Company Undisclosed,Vessel IT Support Specialist,Central,Fresh/entry level,Engineering,Salary undisclosed,
918,Company Undisclosed,Executive Manager,West,Executive,Banking and Finance,"$5,000to$7,000",Monthly
919,Company Undisclosed,"Manager, Marketing",West,Executive,Banking and Finance,"$5,000to$7,000",Monthly
920,Company Undisclosed,OFFICE CLERK,Islandwide,Professional,Engineering,Salary undisclosed,
921,Company Undisclosed,Senior Systems Consultant,Islandwide,Professional,Engineering,"$4,500to$7,000",Monthly
922,Company Undisclosed,Accountant,Central,Junior Executive,Others,"$2,300to$2,500",Monthly
923,Company Undisclosed,HR cum Admin assistant,Central,Junior Executive,Others,"$1,600to$3,000",Monthly
924,Company Undisclosed,Mechanical Engineer – Static Equipment Engineer and Packages,Islandwide,Executive,General Management,Salary undisclosed,
925,Company Undisclosed,Sr. Mechanical Engineer –Speciality Rotating Equipment & Machinery Packages,Islandwide,Executive,General Management,Salary undisclosed,
926,Company Undisclosed,Administrative Assistant,Islandwide,Executive,Admin / Secretarial,"$1,500to$1,500",Monthly
927,GOVERNMENT TECHNOLOGY AGENCY,Data Scientist,Islandwide,Executive,Admin / Secretarial,"$5,000to$8,000",Monthly
